model_year,milage,accident,clean_title,price,turbo,brand_encoded,engine_score
2022,36602.0,0,1,31995.0,0,3,-0.7743867243867243
2023,2800.0,0,1,92000.0,0,6,1.9901154401154404
2021,2165.0,0,1,279950.0,1,6,1.5091630591630594
2018,33000.0,1,1,29900.0,0,5,-0.6090187590187589
2016,76009.0,0,1,24950.0,0,4,-0.11702741702741698
2020,31349.0,0,0,39366.0,0,3,0.6595238095238095
2015,48000.0,0,1,32900.0,0,4,-0.02698412698412694
2005,91420.0,0,1,8900.0,0,4,-0.3951659451659451
2003,124756.0,1,1,4995.0,0,3,-0.9036075036075036
2023,2415.0,0,0,104900.0,0,4,1.0702020202020204
2012,116226.0,0,1,7900.0,0,4,-0.05468975468975463
2020,37869.0,0,0,75950.0,0,4,0.7391774891774893
2019,41500.0,0,1,86000.0,0,4,-0.48001443001443
2013,87001.0,0,1,17995.0,0,4,-0.6308802308802309
2022,4451.0,1,1,55655.0,1,4,0.07662337662337662
2020,27158.0,0,0,39998.0,1,4,-0.42886002886002883
2014,139804.0,1,1,14500.0,0,4,-0.17005772005772005
2022,27300.0,0,1,47500.0,0,3,-0.061832611832611774
2014,36812.0,0,1,27000.0,0,4,-0.6113997113997113
2016,144000.0,1,1,18000.0,0,5,-0.021789321789321737
2019,44500.0,0,1,28900.0,0,4,-0.6185425685425685
2021,10917.0,0,0,73998.0,1,4,0.6022366522366523
2005,8332.0,0,1,47350.0,0,6,0.8892496392496393
2020,51247.0,0,0,47698.0,0,3,0.07662337662337662
2016,69000.0,0,1,36500.0,0,5,1.056998556998557
2021,147834.0,0,1,32662.0,0,5,-0.03167388167388157
2013,105000.0,1,1,6600.0,0,4,-0.010966810966810897
2011,92203.0,0,1,9995.0,0,4,-0.6804473304473304
2010,15600.0,0,1,69500.0,0,3,0.4446608946608947
2018,104700.0,1,0,30775.0,0,5,0.08917581666424886
2010,72348.0,1,1,9995.0,0,3,-0.8988455988455989
2023,2500.0,0,1,94000.0,0,6,1.9901154401154404
2022,13177.0,0,0,44798.0,1,5,-0.42886002886002883
2016,96000.0,1,1,23000.0,0,5,0.1591630591630592
2011,93009.0,0,1,22495.0,0,4,0.4933621933621934
2016,52750.0,1,1,28998.0,0,2,0.10158730158730163
2020,25361.0,0,0,49998.0,1,4,0.07662337662337662
2015,98527.0,1,0,9995.0,0,4,-0.1646464646464646
2023,1300.0,1,0,86900.0,0,6,1.2711399711399711
2017,87305.0,0,1,9000.0,0,1,0.08917581666424886
2012,72922.0,1,0,25999.0,0,4,-0.5518759018759019
2015,41000.0,0,1,30000.0,0,4,0.6403318903318904
2021,42125.0,0,1,27899.0,0,2,-0.58008658008658
2016,62000.0,0,1,40000.0,0,5,0.6368686868686869
2006,153843.0,1,1,9950.0,0,5,0.29509379509379524
2019,35248.0,0,0,53998.0,1,4,0.07662337662337662
2015,194454.0,0,1,9888.0,0,4,-0.7046897546897547
2021,21000.0,0,1,89999.0,0,4,0.6896825396825398
2013,18494.0,1,0,86900.0,0,5,0.2422799422799423
2006,218000.0,0,1,12990.0,0,3,0.5634920634920636
2021,67800.0,1,1,36500.0,0,3,0.715007215007215
2014,79000.0,1,1,42999.0,0,5,-0.2220057720057719
2022,24906.0,0,0,63998.0,1,5,0.07662337662337662
2006,66840.0,1,1,12000.0,0,4,0.43860028860028866
2013,86000.0,0,1,32000.0,0,4,0.9141414141414143
2023,654.0,0,1,34599.0,1,2,-0.42886002886002883
2005,75000.0,0,1,12500.0,0,4,-0.13867243867243864
2015,84000.0,1,1,22800.0,0,5,-0.6113997113997113
2017,52500.0,0,1,39999.0,0,4,0.5916305916305917
2011,120000.0,0,1,7500.0,0,4,-0.05468975468975463
2020,18665.0,0,1,35645.0,1,4,-0.42886002886002883
2016,19987.0,0,1,149900.0,0,6,1.8186868686868687
2017,36486.0,1,1,23950.0,0,3,0.6717171717171718
2013,162100.0,0,1,12500.0,0,4,0.33946608946608964
2022,13079.0,0,1,47000.0,0,5,0.24595959595959596
2022,28377.0,0,0,36999.0,0,3,0.7360750360750362
2020,32744.0,0,1,24000.0,0,2,-0.6737373737373739
2012,54000.0,1,1,26000.0,0,5,-0.026118326118326058
2008,202055.0,1,1,8500.0,0,3,-0.11789321789321783
2019,65000.0,0,1,65000.0,0,5,0.6102453102453104
2022,9686.0,0,1,30990.0,0,3,-0.684126984126984
2010,49620.0,0,1,10499.0,0,4,0.26587301587301587
1997,213000.0,0,1,26500.0,0,3,-0.09927849927849924
2020,16010.0,0,1,114000.0,0,3,0.6351370851370851
2023,820.0,0,0,51998.0,0,4,-0.684126984126984
2021,68000.0,0,1,36499.0,0,4,-0.5923520923520923
1999,82000.0,0,1,25000.0,0,4,0.17388167388167397
2022,27352.0,0,0,27785.0,1,4,-0.6054112554112554
2012,129000.0,1,1,7000.0,0,4,-0.69992784992785
2014,106731.0,1,1,30000.0,0,4,0.4682539682539682
2019,34672.0,0,1,45500.0,0,4,0.19682539682539688
2010,55900.0,0,1,8950.0,0,4,-0.14040404040404034
2023,3158.0,0,0,128900.0,1,4,0.7360750360750362
2015,82000.0,0,1,17000.0,0,4,-0.659018759018759
2023,4785.0,0,1,42850.0,1,5,-0.42886002886002883
2021,20497.0,0,0,22999.0,1,4,-0.830952380952381
2013,177600.0,1,1,7100.0,0,1,-0.6784992784992786
