model_year,milage,accident,clean_title,price,horsepower,turbo,is_luxury,is_upper_class
2014,142400.0,1,1,13500,320.0,0,0,0
2013,136991.0,0,1,11000,198.0,0,0,0
2012,79089.0,0,1,46999,567.0,0,1,0
2019,19069.0,0,0,69998,,1,0,0
2016,44000.0,0,1,46599,577.0,0,0,0
2003,179400.0,1,1,15000,316.0,0,0,1
2023,9281.0,0,1,85000,440.0,0,0,0
2019,88000.0,1,1,39900,280.0,0,0,1
2017,79884.0,1,0,24840,,0,0,0
2014,120250.0,0,1,7500,145.0,0,0,0
2023,3099.0,0,1,74995,389.0,0,0,0
2020,21165.0,0,0,46105,,0,0,1
2021,30176.0,0,1,28979,,1,0,0
2018,74150.0,0,1,45000,420.0,0,0,0
2020,9670.0,0,1,103500,444.0,0,0,0
2019,20034.0,0,0,43998,,0,0,0
2014,85149.0,0,0,23598,,0,0,0
2009,60100.0,0,1,27000,382.0,0,0,0
2015,125500.0,1,1,12950,240.0,0,0,0
2010,87500.0,1,1,14900,315.0,0,0,0
2020,25568.0,0,1,134999,,1,0,1
2019,19800.0,0,1,53800,362.0,0,0,0
2013,104457.0,0,1,17900,211.0,0,0,0
2008,175000.0,1,1,37900,381.0,0,0,0
2019,35597.0,0,0,47756,,0,0,0
2021,11459.0,0,1,88900,420.0,0,0,0
2006,264893.0,1,1,5000,208.0,0,0,0
2011,100331.0,1,1,6900,200.0,0,0,0
2015,98000.0,0,1,32999,425.0,0,0,0
2021,31654.0,0,0,33410,,1,0,0
2019,92040.0,0,1,24999,,1,0,0
2008,63496.0,0,1,15000,330.0,0,0,0
2020,31015.0,0,1,36570,,1,0,0
2017,94100.0,1,1,49900,518.0,0,0,1
2018,13500.0,1,1,54000,650.0,0,0,0
2017,24280.0,1,1,29000,228.0,0,0,0
2010,81696.0,1,1,9499,270.0,0,0,0
2013,99524.0,1,1,24900,386.0,0,0,0
2009,48750.0,0,1,17900,159.0,0,0,0
2016,39750.0,0,1,21995,134.0,0,0,0
2021,23292.0,0,1,73500,420.0,0,0,0
2005,59300.0,0,1,30900,225.0,0,0,0
2004,187000.0,0,1,6299,300.0,0,0,0
2022,1087.0,0,1,279000,,1,0,0
